Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Year,Total.On.Board,Fatal.Injury.Likelihood,Serious.Injury.Likelihood,Severe.Injury.Risk,Aircraft.Destroyed,Aircraft.ID
20001214X42095,Accident,SEA83LA036,1983-01-01,"NEWPORT, OR",United States,,,ONP,NEWPORT MUNICIPAL,Non-Fatal,substantial,N1296M,cessna,182p,No,1.0,reciprocating,personal,0.0,0.0,1.0,3.0,vmc,approach,Probable Cause,,1983,4.0,0.0,0.0,0.0,0,cessna_182p
20001214X42067,Accident,MKC83LA056,1983-01-01,"WOODBINE, IA",United States,,,3YR,MUNICIPAL,Non-Fatal,substantial,N2639C,cessna,182rg,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,landing,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,cessna_182rg
20001214X42063,Accident,MKC83LA050,1983-01-01,"MARYVILLE, MO",United States,,,78Y,RANKIN,Non-Fatal,substantial,N58664,cessna,182p,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,takeoff,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,cessna_182p
20001214X42018,Accident,LAX83FUG11,1983-01-01,"UPLAND, CA",United States,,,CCB,CABLE,Non-Fatal,substantial,N3084R,piper,pa-28r-200,No,1.0,reciprocating,personal,0.0,0.0,2.0,0.0,vmc,approach,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,piper_pa-28r-200
20001214X41951,Accident,CHI83LA074,1983-01-01,"SPRINGBROOK, WI",United States,,,,SPRINGBROOK,Non-Fatal,substantial,N89399,cessna,140,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,landing,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,cessna_140
20001214X42010,Accident,LAX83FA064,1983-01-02,"MONTEREY, CA",United States,,,,,Non-Fatal,destroyed,N1947E,cessna,340a,No,2.0,reciprocating,personal,0.0,0.0,4.0,0.0,vmc,takeoff,Probable Cause,,1983,4.0,0.0,0.0,0.0,1,cessna_340a
20001214X41937,Accident,CHI83FA069,1983-01-02,"GENOA CITY, WI",United States,,,64C,VINCENT,Fatal(2),destroyed,N3168G,north american,t-6g,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,vmc,maneuvering,Probable Cause,,1983,2.0,1.0,0.0,1.0,1,north american_t-6g
20001214X41919,Accident,ATL83FA081,1983-01-02,"BEAUFORT, SC",United States,,,,,Fatal(3),destroyed,N8066P,piper,pa-24-250,No,1.0,reciprocating,personal,3.0,0.0,0.0,0.0,imc,cruise,Probable Cause,,1983,3.0,1.0,0.0,1.0,1,piper_pa-24-250
20001214X42051,Accident,MIA83LA056,1983-01-02,"NEAR VERO BEACH, FL",United States,,,,,Non-Fatal,substantial,N35590,piper,pa-32-301r,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,maneuvering,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,piper_pa-32-301r
20001214X41994,Accident,FTW83LA073,1983-01-02,"BIG SPRING, TX",United States,,,21XS,BIG SPRING MUNICIPAL,Non-Fatal,substantial,N9435Q,beech,v-35b,No,1.0,reciprocating,personal,0.0,0.0,0.0,3.0,vmc,takeoff,Probable Cause,,1983,3.0,0.0,0.0,0.0,0,beech_v-35b
20001214X41976,Accident,DEN83LA047,1983-01-02,"VERNAL, UT",United States,,,VEL,VERNAL MUNI.,Non-Fatal,substantial,N6732B,beech,a36,No,1.0,reciprocating,business,0.0,0.0,0.0,2.0,vmc,takeoff,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,beech_a36
20001214X41950,Accident,CHI83LA073,1983-01-02,"MONEE, IL",United States,,,C56,SANGER,Non-Fatal,substantial,N9699B,cessna,180,No,1.0,reciprocating,personal,0.0,0.0,0.0,4.0,vmc,landing,Probable Cause,,1983,4.0,0.0,0.0,0.0,0,cessna_180
20001214X41948,Accident,CHI83LA071,1983-01-02,"PLATO CENTER, IL",United States,,,LL53,OLSON,Non-Fatal,substantial,N4292V,cessna,170,No,1.0,reciprocating,personal,0.0,0.0,2.0,0.0,vmc,landing,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,cessna_170
20001214X41947,Accident,CHI83LA070,1983-01-02,"GREENBURG, IN",United States,,,,,Non-Fatal,substantial,N7230G,cessna,172,No,1.0,reciprocating,personal,0.0,0.0,0.0,3.0,vmc,cruise,Probable Cause,,1983,3.0,0.0,0.0,0.0,0,cessna_172
20001214X41927,Accident,ATL83LA080,1983-01-02,"LAUREL, MS",United States,,,PIB,PINE BELT REGIONAL,Non-Fatal,substantial,N5291M,swearingen,sa-226tc,No,2.0,turbo prop,personal,0.0,0.0,0.0,20.0,imc,cruise,Probable Cause,,1983,20.0,0.0,0.0,0.0,0,swearingen_sa-226tc
20001214X41924,Accident,ATL83FIG03,1983-01-02,"HANCOCK, MD",United States,,,W35,POTOMAC AIRPARK,Fatal(1),substantial,N8515U,cessna,172f,No,1.0,reciprocating,personal,1.0,1.0,2.0,0.0,vmc,maneuvering,Probable Cause,,1983,4.0,0.25,0.25,0.5,0,cessna_172f
20001214X42087,Accident,SEA83FA038,1983-01-03,"WILLARD, WA",United States,,,,,Fatal(5),destroyed,N6087C,cessna,t303,No,2.0,reciprocating,business,5.0,0.0,0.0,0.0,imc,climb,Probable Cause,,1983,5.0,1.0,0.0,1.0,1,cessna_t303
20001214X42017,Accident,LAX83FUA02,1983-01-03,"AVALON, CA",United States,,,AVX,CATALINA,Fatal(2),destroyed,N2239M,piper,pa-28-161,No,1.0,reciprocating,personal,2.0,2.0,0.0,0.0,vmc,go-around,Probable Cause,,1983,4.0,0.5,0.5,1.0,1,piper_pa-28-161
20001214X41966,Accident,DCA83AA010,1983-01-03,"HAILEY, ID",United States,,,SUN,FRIEDMAN MEMORIAL,Fatal(2),destroyed,N805C,canadair,cl-600-1a11,No,2.0,turbo fan,executive/corporate,2.0,0.0,0.0,0.0,vmc,approach,Probable Cause,,1983,2.0,1.0,0.0,1.0,1,canadair_cl-600-1a11
20001214X42023,Accident,LAX83FXQ02,1983-01-03,"MAMMOTH LAKES, CA",United States,,,MMF,MAMMOTH,Non-Fatal,substantial,N1931T,piper,pa-28-235,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,climb,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,piper_pa-28-235
20001214X42011,Accident,LAX83FA066,1983-01-03,"VAN NUYS, CA",United States,,,VNY,VAN NUYS,Non-Fatal,substantial,N49750,cessna,152,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,cessna_152
20001214X41949,Accident,CHI83LA072,1983-01-03,"DETROIT, MI",United States,,,DET,DETROIT CITY,Non-Fatal,substantial,N25920,piper,pa-38-112,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,piper_pa-38-112
